名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,最終順位,最終票数,割合
刻詠の風水士リンネ,1,16.61%,,刻詠の風水士リンネ,1,17.51%,,刻詠の風水士リンネ,1,1120665,17.34%
光の守護者アルティア,2,7.36%,,光の守護者アルティア,2,7.24%,,光の守護者アルティア,2,455731,7.05%
酒呑童子の娘　鬼刃姫,3,4.47%,,酒呑童子の娘　鬼刃姫,3,4.63%,,酒呑童子の娘 鬼刃姫,3,295003,4.56%
神和ぎの踊り子ミヤビ,4,3.92%,,神和ぎの踊り子ミヤビ,4,3.96%,,神和ぎの踊り子ミヤビ,4,256704,3.97%
極重巨砲フレデリカ,5,3.58%,,極重巨砲フレデリカ,5,3.58%,,極重巨砲フレデリカ,5,233095,3.61%
武王姫アリス,6,3.56%,,武王姫アリス,6,3.57%,,武王姫アリス,6,231182,3.58%
白の皇帝,7,3.44%,,白の皇帝,7,3.39%,,白の皇帝,7,217929,3.37%
伏龍の軍師アイシャ,8,3.23%,,伏龍の軍師アイシャ,8,3.03%,,叛逆の騎士コーネリア,8,208920,3.23%
近衛騎士団長ミレイユ,9,2.92%,,時の調停者トワ,9,2.88%,,近衛騎士団長ミレイユ,9,201395,3.12%
時の調停者トワ,10,2.64%,,叛逆の騎士コーネリア,10,2.83%,,時の調停者トワ,10,192018,2.97%
叛逆の騎士コーネリア,11,2.43%,,近衛騎士団長ミレイユ,11,2.82%,,伏龍の軍師アイシャ,11,190585,2.95%
戦術教官ケイティ,12,2.42%,,戦術教官ケイティ,12,2.70%,,戦術教官ケイティ,12,189017,2.92%
風神の娘フーコ,13,2.20%,,風神の娘フーコ,13,2.22%,,風神の娘フーコ,13,142910,2.21%
雷神の娘レミィ,14,2.14%,,雷神の娘レミィ,14,2.19%,,雷神の娘レミィ,14,141437,2.19%
天才機甲士ウェンディ,15,1.92%,,ドワーフの姫ティニー,15,1.90%,,ドワーフの姫ティニー,15,121653,1.88%
ドワーフの姫ティニー,16,1.88%,,天才機甲士ウェンディ,16,1.86%,,天才機甲士ウェンディ,16,118253,1.83%
封鎧の剣士テンマ,17,1.55%,,封鎧の剣士テンマ,17,1.49%,,封鎧の剣士テンマ,17,92439,1.43%
絢爛の吸血鬼エマ,18,1.33%,,絢爛の吸血鬼エマ,18,1.32%,,絢爛の吸血鬼エマ,18,83501,1.29%
帝国元帥レオラ,19,1.19%,,帝国元帥レオラ,19,1.17%,,帝国元帥レオラ,19,73603,1.14%
新世代山賊アマンダ,20,1.10%,,新世代山賊アマンダ,20,1.11%,,新世代山賊アマンダ,20,69792,1.08%
帝国剣士ジークリンデ,21,1.03%,,帝国剣士ジークリンデ,21,0.98%,,帝国剣士ジークリンデ,21,61212,0.95%
悪魔召喚士リヴル,22,0.94%,,癒し手イーリス,22,0.89%,,癒し手イーリス,22,56618,0.88%
月影の弓騎兵リオン,23,0.91%,,悪魔召喚士リヴル,23,0.87%,,悪魔召喚士リヴル,23,55031,0.85%
癒し手イーリス,24,0.90%,,月影の弓騎兵リオン,24,0.85%,,月影の弓騎兵リオン,24,52730,0.82%
旅の司祭ポーラ,25,0.88%,,旅の司祭ポーラ,25,0.80%,,旅の司祭ポーラ,25,48859,0.76%
水霊使いセノーテ,26,0.83%,,水霊使いセノーテ,26,0.76%,,森の隠者フィオレ,26,46394,0.72%
海軍元帥イブキ,27,0.75%,,森の隠者フィオレ,27,0.71%,,水霊使いセノーテ,27,46179,0.71%
召喚士ファルネ,28,0.71%,,海軍元帥イブキ,28,0.70%,,海軍元帥イブキ,28,44973,0.70%
森の隠者フィオレ,29,0.70%,,道化師ワンダーハート,29,0.69%,,道化師ワンダーハート,29,44717,0.69%
天馬騎士団長エスタ,30,0.70%,,天馬騎士団長エスタ,30,0.67%,,天馬騎士団長エスタ,30,41889,0.65%
道化師ワンダーハート,31,0.67%,,召喚士ファルネ,31,0.65%,,死霊魔術師メメント,31,39989,0.62%
死霊魔術師メメント,32,0.66%,,死霊魔術師メメント,32,0.62%,,召喚士ファルネ,32,39942,0.62%
砂漠の戦士アサル,33,0.66%,,砂漠の戦士アサル,33,0.56%,,神森の守護妖精スプラ,33,37578,0.58%
神森の守護妖精スプラ,34,0.63%,,神森の守護妖精スプラ,34,0.56%,,砂漠の戦士アサル,34,34753,0.54%
狩人ベラ,35,0.61%,,霊鳥の射手スー,35,0.52%,,付与魔術師アンリ,35,33612,0.52%
霊鳥の射手スー,36,0.58%,,錬金技工士マキナ,36,0.52%,,錬金技工士マキナ,36,33294,0.52%
付与魔術師アンリ,37,0.52%,,付与魔術師アンリ,37,0.51%,,霊鳥の射手スー,37,32277,0.50%
錬金技工士マキナ,38,0.51%,,メルヴィナ,38,0.51%,,メルヴィナ,38,31168,0.48%
魔導師ヴァレリー,39,0.50%,,魔導師ヴァレリー,39,0.45%,,忍者サキ,39,28662,0.44%
メルヴィナ,40,0.49%,,狩人ベラ,40,0.45%,,魔導師ヴァレリー,40,27848,0.43%
忍者サキ,41,0.45%,,忍者サキ,41,0.43%,,一般兵A,41,27612,0.43%
雷神の娘ラミィ,42,0.40%,,一般兵A,42,0.39%,,狩人ベラ,42,26045,0.40%
爆裂海賊モーレット,43,0.39%,,雷神の娘ラミィ,43,0.38%,,帝国風霊使いハルカ,43,25377,0.39%
天才戦術家ヘレナ,44,0.36%,,帝国風霊使いハルカ,44,0.38%,,雷神の娘ラミィ,44,25033,0.39%
帝国風霊使いハルカ,45,0.35%,,月姫カグヤ,45,0.36%,,帝国道化師モトリー,45,23889,0.37%
帝国道化師モトリー,46,0.34%,,角竜騎士ナディア,46,0.36%,,月姫カグヤ,46,23542,0.36%
月姫カグヤ,47,0.34%,,帝国道化師モトリー,47,0.35%,,角竜騎士ナディア,47,22782,0.35%
重装砲兵レギーナ,48,0.34%,,天才戦術家ヘレナ,48,0.34%,,爆裂海賊モーレット,48,22174,0.34%
一般兵A　,49,0.33%,,重装砲兵レギーナ,49,0.34%,,重装砲兵レギーナ,49,22141,0.34%
角竜騎士ナディア,50,0.33%,,ジュリア,50,0.31%,,天才戦術家ヘレナ,50,21937,0.34%
ジュリア,51,0.32%,,爆裂海賊モーレット,51,0.31%,,ジュリア,51,20338,0.31%
シェリー,52,0.31%,,戦の聖霊シンシア,52,0.29%,,竜巫女エキドナ,52,20078,0.31%
戦の聖霊シンシア,53,0.31%,,シェリー,53,0.29%,,戦の聖霊シンシア,53,19058,0.29%
竜巫女エキドナ,54,0.30%,,竜巫女エキドナ,54,0.29%,,シェリー,54,18888,0.29%
クローディア,55,0.28%,,守護騎士シェルト,55,0.26%,,クローディア,55,17417,0.27%
守護騎士シェルト,56,0.28%,,クローディア,56,0.26%,,守護騎士シェルト,56,16665,0.26%
兎耳の魔物使いシュシュ ,57,0.27%,,副官アリア,57,0.25%,,兎耳の魔物使いシュシュ,57,16033,0.25%
雷竜騎士エレニア,58,0.26%,,雷竜騎士エレニア,58,0.25%,,副官アリア,58,15517,0.24%
堕天使ニエル,59,0.26%,,兎耳の魔物使いシュシュ,59,0.25%,,聖夜の魔女リュリュ,59,15307,0.24%
新緑の兵士フィリス,60,0.25%,,新緑の兵士フィリス,60,0.23%,,雷竜騎士エレニア,60,14901,0.23%
召喚士ソラノ,61,0.25%,,聖夜の魔女リュリュ,61,0.23%,,新緑の兵士フィリス,61,14153,0.22%
呪術師ミトラ,61,0.25%,,私掠船長サブリナ,61,0.23%,,呪術師ミトラ,62,14136,0.22%
副官アリア,63,0.24%,,召使いアイリーン,63,0.23%,,歪み角のプリスナ,63,13859,0.21%
聖職者セレイナ,64,0.24%,,呪術師ミトラ,64,0.22%,,封妖の忍者ナギ,64,13810,0.21%
暗黒騎士ダルク,65,0.23%,,封妖の忍者ナギ,65,0.21%,,召使いアイリーン,65,13335,0.21%
召使いアイリーン,66,0.23%,,歪み角のプリスナ,66,0.21%,,私掠船長サブリナ,66,13225,0.20%
私掠船長サブリナ,67,0.22%,,堕天使ニエル,67,0.20%,,召喚士ソラノ,67,12177,0.19%
聖なる復讐者ルマリア,68,0.22%,,召喚士ソラノ,68,0.20%,,彩華の射手シャオ,68,11567,0.18%
聖夜の魔女リュリュ,69,0.21%,,暗黒騎士ダルク,69,0.20%,,暗黒騎士ダルク,69,11509,0.18%
