名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,最終順位,最終票数,割合
金光聖菩,1,10.02%,,金光聖菩,1,11.38%,,金光聖菩,1,745458,11.61%
シビラ,2,8.30%,,シビラ,2,8.32%,,シビラ,2,520852,8.11%
政務官アンナ,3,6.49%,,魔物使いモルテナ,3,6.19%,,魔物使いモルテナ,3,390808,6.09%
魔物使いモルテナ,4,6.22%,,白き射手ナナリー,4,6.18%,,白き射手ナナリー,4,390518,6.08%
白き射手ナナリー,5,6.09%,,政務官アンナ,5,6.11%,,政務官アンナ,5,377408,5.88%
王宮侍女武官セーラ,6,4.44%,,王宮侍女武官セーラ,6,4.27%,,王宮侍女武官セーラ,6,269474,4.20%
魔法皇女エステル,7,3.25%,,魔法皇女エステル,7,3.26%,,魔法皇女エステル,7,211627,3.30%
竜姫アーニャ,8,3.17%,,竜姫アーニャ,8,3.17%,,竜姫アーニャ,8,211425,3.29%
陰陽師ミコト,9,2.95%,,陰陽師ミコト,9,2.98%,,陰陽師ミコト,9,200854,3.13%
紅輪の道士ナタク,10,2.55%,,神業の狩人アーシェラ,10,2.85%,,神業の狩人アーシェラ,10,196091,3.05%
神業の狩人アーシェラ,11,2.48%,,紅輪の道士ナタク,11,2.71%,,紅輪の道士ナタク,11,191754,2.99%
隊商長ディエーラ,12,2.34%,,隊商長ディエーラ,12,2.37%,,隊商長ディエーラ,12,152987,2.38%
怪力少女ディーナ,13,2.33%,,怪力少女ディーナ,13,2.18%,,怪力少女ディーナ,13,145949,2.27%
帝国騎士団長ディアナ,14,1.77%,,鬼切の使い手ヒバリ,14,1.69%,,帝国騎士団長ディアナ,14,105330,1.64%
鬼切の使い手ヒバリ,15,1.69%,,帝国騎士団長ディアナ,15,1.67%,,鬼切の使い手ヒバリ,15,105282,1.64%
爆砲の新兵カノン,16,1.60%,,一角獣騎士クリッサ,16,1.56%,,一角獣騎士クリッサ,16,104162,1.62%
一角獣騎士クリッサ,17,1.52%,,爆砲の新兵カノン,17,1.53%,,爆砲の新兵カノン,17,92969,1.45%
天使長ミルノ,18,1.40%,,天使長ミルノ,18,1.27%,,天使長ミルノ,18,84659,1.32%
神官戦士団長エクス,19,1.18%,,無双の海賊デューオ,19,1.21%,,無双の海賊デューオ,19,76207,1.19%
無双の海賊デューオ,20,1.15%,,神官戦士団長エクス,20,1.17%,,神官戦士団長エクス,20,74093,1.15%
用兵家ジェローム,21,1.12%,,帝国魔神団長メフィスト,21,1.08%,,帝国魔神団長メフィスト,21,69504,1.08%
近衛騎士アリシア,22,1.08%,,用兵家ジェローム,22,1.05%,,用兵家ジェローム,22,65980,1.03%
帝国魔神団長メフィスト ,23,1.07%,,闇エルフの女王ドロテア,23,1.03%,,闇エルフの女王ドロテア,23,65644,1.02%
闇エルフの女王ドロテア ,24,1.04%,,吸血鬼ラキュア,24,0.94%,,吸血鬼ラキュア,24,62951,0.98%
吸血鬼ラキュア,25,0.98%,,近衛騎士アリシア,25,0.93%,,近衛騎士アリシア,25,59798,0.93%
伝説の海賊ミネルバ,26,0.94%,,伝説の海賊ミネルバ,26,0.90%,,伝説の海賊ミネルバ,26,55270,0.86%
聖魔殺しの銃手ソシエ,27,0.82%,,聖魔殺しの銃手ソシエ,27,0.82%,,聖魔殺しの銃手ソシエ,27,51277,0.80%
鷲獅騎兵リュクス,28,0.81%,,鷲獅騎兵リュクス,28,0.79%,,鷲獅騎兵リュクス,28,50741,0.79%
天狗コノハ,29,0.68%,,堕天使クロエ,29,0.66%,,堕天使クロエ,29,41107,0.64%
堕天使クロエ,30,0.67%,,天狗コノハ,30,0.62%,,ぬらりひょんの娘シノ,30,40025,0.62%
純白の花嫁カルマ,31,0.64%,,漆黒の射手リタ,31,0.60%,,漆黒の射手リタ,31,37760,0.59%
漆黒の射手リタ,32,0.63%,,ぬらりひょんの娘シノ,32,0.57%,,雷爪道士レイメイ,32,37117,0.58%
雷爪道士レイメイ,33,0.62%,,雷爪道士レイメイ,33,0.57%,,天狗コノハ,33,36141,0.56%
妖狐イナリ,34,0.57%,,行商人トトノ,34,0.56%,,行商人トトノ,34,33274,0.52%
ぬらりひょんの娘シノ,35,0.56%,,妖狐イナリ,35,0.52%,,妖狐イナリ,35,32180,0.50%
行商人トトノ,36,0.55%,,技工兵ドリー,36,0.50%,,技工兵ドリー,36,31217,0.49%
帝国水兵フレイ,37,0.49%,,純白の花嫁カルマ,37,0.50%,,純白の花嫁カルマ,37,29662,0.46%
技工兵ドリー,38,0.48%,,魔女デスピア,38,0.45%,,魔女デスピア,38,27957,0.44%
魔女デスピア,39,0.41%,,踊り子シャルキー,39,0.41%,,踊り子シャルキー,39,25734,0.40%
黒紫の巫女キキョウ,40,0.40%,,黒紫の巫女キキョウ,40,0.39%,,至宝の使い手リアナ,40,23815,0.37%
踊り子シャルキー,41,0.39%,,帝国水兵フレイ,41,0.37%,,黒紫の巫女キキョウ,41,23666,0.37%
見習い魔術師メーリス,42,0.38%,,至宝の使い手リアナ,42,0.36%,,帝国銀竜ヴルム,42,22275,0.35%
魔眼の魔神バロウス,43,0.37%,,帝国銀竜ヴルム,43,0.36%,,帝国神官戦士ルチア,43,20990,0.33%
混血の狩人フラン,44,0.37%,,混血の狩人フラン,44,0.34%,,帝国水兵フレイ,44,20463,0.32%
山賊娘リーフ,45,0.36%,,帝国神官戦士ルチア,45,0.33%,,癒し手カミラ,45,19755,0.31%
帝国神官戦士ルチア,46,0.36%,,魔眼の魔神バロウス,46,0.30%,,剣士レイブン,46,19629,0.31%
帝国銀竜ヴルム,47,0.36%,,剣士レイブン,47,0.30%,,混血の狩人フラン,47,19524,0.30%
至宝の使い手リアナ,48,0.35%,,癒し手カミラ,48,0.29%,,見習い魔術師メーリス,48,19307,0.30%
癒し手カミラ,49,0.30%,,見習い魔術師メーリス,49,0.29%,,祝祭の南瓜姫ミサ,49,18507,0.29%
祝祭の南瓜姫ミサ,50,0.29%,,武器商人エイミー,50,0.28%,,魔眼の魔神バロウス,50,17575,0.27%
弓兵ダニエラ,51,0.28%,,祝祭の南瓜姫ミサ,51,0.27%,,武器商人エイミー,51,16755,0.26%
剣士レイブン,52,0.28%,,帝国遊撃兵ローザ,52,0.27%,,帝国遊撃兵ローザ,52,16661,0.26%
聖戦士マリーベル,53,0.28%,,魔鎧乙女パルフィ,53,0.26%,,魔鎧乙女パルフィ,53,16582,0.26%
白百合騎士テティス,54,0.27%,,白百合騎士テティス,54,0.26%,,白百合騎士テティス,54,16340,0.25%
帝国遊撃兵ローザ,55,0.27%,,弓兵ダニエラ,55,0.25%,,弓兵ダニエラ,55,16289,0.25%
