名前,投票数
刻詠の風水士リンネ,1120665
大悪魔召喚士ラピス,1063542
金光聖菩,745458
シビラ,520852
光の守護者アルティア,455731
紅血の皇女シルヴィア,435694
魔物使いモルテナ,390808
白き射手ナナリー,390518
政務官アンナ,377408
魔戦団長イングリッド,349979
屍仙道士スーシェン,347950
酒呑童子の娘 鬼刃姫,295003
帝国妖狐キュウビ,279480
聖女イリス,276355
王宮侍女武官セーラ,269474
神和ぎの踊り子ミヤビ,256704
極重巨砲フレデリカ,233095
武王姫アリス,231182
白の皇帝,217929
魔法皇女エステル,211627
竜姫アーニャ,211425
叛逆の騎士コーネリア,208920
近衛騎士団長ミレイユ,201395
陰陽師ミコト,200854
神業の狩人アーシェラ,196091
時の調停者トワ,192018
九尾狐カヨウ,166016
暗黒騎士,160111
風神の娘クーコ,143595
聖銀竜の騎士ティファ,141894
